Title,Summary,Link,Time,Section,Subsection,Category
"Florida Man Strangled Wife, Then Impersonated Her on Facebook, Police Say","George J. McShane Jr., who posted messages to dupe his wifeâ€™s relatives about her absence, was charged with murder, according to the Orlando police.",https://www.nytimes.com/2017/01/13/us/man-kills-wife-facebook-post.html,2017-01-13T20:29:01+0000,U.S.,U.S.,Florida Man
Trump Supporter Accused of Mailing Bombs Is Indicted in New York,Cesar A. Sayoc Jr. would face life in prison if convicted on the top counts in a federal indictment made public on Friday.,https://www.nytimes.com/2018/11/09/nyregion/sayoc-pipe-bomb-suspect.html,2018-11-09T23:36:56+0000,New York,New York,Florida Man
New Coke Was a Debacle. Itâ€™s Coming Back. Blame â€˜Stranger Things.â€™,"The creators of the hit Netflix series wrote the failed beverage into the coming season as part of a big marketing push. With memories of a 1985 backlash faded, Coca-Cola dug out the old recipe.",https://www.nytimes.com/2019/05/21/business/media/new-coke-netflix-stranger-things.html,2019-05-21T13:00:09+0000,Business Day,Business Day,Florida Man
F.B.I. Arrests Florida Man Accused of Threatening to Kill Gays,"A man said on Facebook that he was planning a Labor Day attack, comparing it to the Orlando nightclub massacre and killings of African-Americans by the police, the F.B.I. said.",https://www.nytimes.com/2016/09/05/us/fbi-arrests-florida-man-accused-of-threatening-to-kill-gays.html,2016-09-05T00:39:51+0000,U.S.,U.S.,Florida Man
Donâ€™t Blame the Polls,"In the On Politics newsletter, some hits and misses from pre-election forecasts; plus, a surprising connection between Medicaid and voting.",https://www.nytimes.com/2018/11/08/us/politics/on-politics-midterm-polls.html,2018-11-08T22:46:16+0000,U.S.,U.S.,Florida Man
Florida Man Who Fired at George Zimmermanâ€™s Car Gets 20 Years in Prison,Matthew Apperson said he had fired at Mr. Zimmerman in self-defense in 2015.,https://www.nytimes.com/2016/10/18/us/florida-man-gets-20-years-in-prison-for-firing-at-george-zimmermans-car.html,2016-10-17T18:54:44+0000,U.S.,U.S.,Florida Man
Unchecked â€˜Hateâ€™ Toward Rep. Ilhan Omar Has American Muslims Shuddering,"Muslim voters are becoming a more significant part of the electorate, but some fear a loss of momentum as controversy surrounds the congresswoman.",https://www.nytimes.com/2019/04/25/us/ilhan-omar-muslim-reactions.html,2019-04-25T09:00:11+0000,U.S.,U.S.,Florida Man
"The Weekly Health Quiz: Fat, Muscles and Memory",Test your knowledge of this weekâ€™s health news.,https://www.nytimes.com/interactive/2018/05/18/well/live/18healthquiz-05182018.html,2018-05-18T09:00:04+0000,Well,Well,Florida Man
When Covering Florida Elections Turns Into a Weekslong Endeavor,"Covering Florida elections for the past decade, I became inevitably steeped in the lore of Bush v. Gore.",https://www.nytimes.com/2018/11/17/reader-center/florida-recount-election.html,2018-11-17T19:39:50+0000,Reader Center,Reader Center,Florida Man
"Marie Kondo Helped, but What About the Extra Stuff?",You may find that donating or recycling your unwanted possessions is harder than it might seem.,https://www.nytimes.com/2019/02/15/realestate/marie-kondo-decluttering.html,2019-02-15T14:00:05+0000,Real Estate,Real Estate,Florida Man
"Port Authority Bomber Was Trying to Commit Suicide, Defense Argues","As the terror trial of Akayed Ullah opened, his lawyer said he had nothing to do with the Islamic State, but had tried to kill himself with a pipe bomb.",https://www.nytimes.com/2018/10/30/nyregion/port-authority-bombing-trial.html,2018-10-31T00:17:25+0000,New York,New York,Florida Man
"Trump, at Charlotte Rally, Tries to Rebuild Political â€˜Momentumâ€™ by Reviving Old Attacks","At a rally in North Carolina, President Trump made it clear that he was no longer going to sit through another news cycle without himself at the center.",https://www.nytimes.com/2018/10/26/us/politics/trump-rally-charlotte-nc.html,2018-10-27T01:33:07+0000,U.S.,U.S.,Florida Man
â€˜Riling Up the Craziesâ€™,The only thing we have to fear is Trump himself.,https://www.nytimes.com/2018/10/27/opinion/sunday/donald-trump-fear.html,2018-10-27T18:37:42+0000,Opinion,Opinion,Florida Man
Containers of Hurricane Donations Found Rotting in Puerto Rico Parking Lot,"The containers, collected from private donors by a group controlled by Puerto Ricoâ€™s first lady, are sitting in a state parking lot, crumbling and infested with rats.",https://www.nytimes.com/2018/08/10/us/puerto-rico-aid.html,2018-08-10T23:24:09+0000,U.S.,U.S.,Florida Man
Virginiaâ€™s Political Chaos Is a Test for Both Parties,"In the On Politics newsletter: Virginia presents the first high-stakes trial of Democratsâ€™ zero-tolerance policy, and a look at how Republicans may weaponize those politics.",https://www.nytimes.com/2019/02/07/us/politics/on-politics-racism-scandal-virginia.html,2019-02-07T23:50:00+0000,U.S.,U.S.,Florida Man
California Today: Los Angeles Tests Housing the Homeless in Its Own Backyard,"Tuesday: A pilot program offers subsidies for homeowners, a potential ethics challenge for Gavin Newsom, and Baroo Los Angeles closes after three years.",https://www.nytimes.com/2018/10/30/us/california-today-los-angeles-homeless-housing.html,2018-10-30T12:59:33+0000,U.S.,U.S.,Florida Man
New York Today: A Recap of the Election,"Wednesday: Who won in New York, bright skies, and Cesar Sayocâ€™s bond hearing.",https://www.nytimes.com/2018/11/07/nyregion/new-york-today-election-takeaways.html,2018-11-07T11:05:01+0000,New York,New York,Florida Man
Five Lawmakers Call on U.S. to Investigate Florida â€˜Stand Your Groundâ€™ Case,The congressional Democrats asked Attorney General Jeff Sessions to open an inquiry into the killing of a man during an argument over a parking space.,https://www.nytimes.com/2018/07/27/us/florida-stand-your-ground.html,2018-07-28T00:30:13+0000,U.S.,U.S.,Florida Man
Security Guard at 9/11 Memorial Charged With Trafficking Firearms,"The guard, Maquan Moore, and a co-defendant are accused of selling more than 25 firearms illegally.",https://www.nytimes.com/2018/02/02/nyregion/security-guard-9-11-memorial-firearms.html,2018-02-03T02:03:42+0000,New York,New York,Florida Man
"Pipe Bomb Arrest, Yemen, Midterms: Your Friday Evening Briefing",Hereâ€™s what you need to know at the end of the day.,https://www.nytimes.com/2018/10/26/briefing/pipe-bombs-yemen-midterms.html,2018-10-26T22:14:03+0000,Briefing,Briefing,Florida Man
So the Southâ€™s White Terror Will Never Be Forgotten,"A new memorial and museum in Montgomery, Ala., bring attention to a disturbing chapter of the nationâ€™s history â€” one that in some ways lives on.",https://www.nytimes.com/2018/04/25/opinion/american-lynchings-memorial.html,2018-04-25T15:53:26+0000,Opinion,Opinion,Florida Man
"Charles Mansonâ€™s Remains Will Go to Purported Grandson, Judge Rules","Jason Freeman says he wants to give Mr. Manson, one of the most notorious killers of the last century, a proper burial.",https://www.nytimes.com/2018/03/12/us/charles-manson-body-grandson.html,2018-03-13T03:22:34+0000,U.S.,U.S.,Florida Man
Florida Man Is Arrested in 2014 Murder of Law Professor,"The Tallahassee police said Sigfredo Garcia was being held in connection with the killing of Dan Markel, a professor at Florida State University College of Law.",https://www.nytimes.com/2016/05/27/us/dan-markel-arrest-2014-murder-of-law-professor.html,2016-05-26T17:52:15+0000,U.S.,U.S.,Florida Man
The â€˜Insaneâ€™ Way Our Prison System Handles the Mentally Ill,"In her new book, Alisa Roth details the way the criminal justice system makes the sick even sicker.",https://www.nytimes.com/2018/05/22/books/review/insane-alisa-roth.html,2018-05-22T19:00:04+0000,Books,Books,Florida Man
Family Questions Killing of Florida Man,"Relatives of Corey Jones, a musician killed by a police officer while he waited for a tow truck on a South Florida highway, spoke at a protest rally on Thursday in Palm Beach, Fla.",https://www.nytimes.com/video/us/100000003993283/family-questions-killing-of-florida-man-.html,2015-10-22T19:01:09+0000,U.S.,U.S.,Florida Man
"Florida Man Says He Killed Sick Wife Because He Couldnâ€™t Afford Her Medicine, Sheriff Says","William J. Hager, 86, said he shot his wife of more than 50 years while she slept in their Port St. Lucie house.",https://www.nytimes.com/2016/05/20/us/florida-man-says-he-killed-sick-wife-because-he-couldnt-afford-her-medicine-sheriffs-say.html,2016-05-19T18:28:59+0000,U.S.,U.S.,Florida Man
What to Read Before Your Florida Trip,Three writers offer a defense of the state.,https://www.nytimes.com/2017/05/23/travel/what-to-read-before-your-florida-trip.html,2017-05-23T10:00:17+0000,Travel,Travel,Florida Man
Florida at 200 M.P.H.,"When IndyCar came to St. Pete for a race, I was there â€” heart pumping, eyes popping, ears ringing.",https://www.nytimes.com/2018/03/17/opinion/sunday/florida-indycar-st-petersburg.html,2018-03-17T15:00:06+0000,Opinion,Opinion,Florida Man
"What Is Atomwaffen? A Neo-Nazi Group, Linked to Multiple Murders",The small extremist group has been behind some disturbing headlines since last spring.,https://www.nytimes.com/2018/02/12/us/what-is-atomwaffen.html,2018-02-12T17:13:46+0000,U.S.,U.S.,Florida Man
Calls for justice at funeral for Florida man killed by officer,"Mourners call for justice at the funeral of Florida musician Corey Jones, who was killed by a plainclothes police officer after his car broke down early one morning.",https://www.nytimes.com/video/multimedia/100000004011625/calls-for-justice-at-funeral-for-florida-man-killed-by-officer.html,2015-10-31T23:14:43+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
Calls for justice at funeral for Florida man killed by officer,,https://www.nytimes.com/video/multimedia/100000004011617/calls-for-justice-at-funeral-for-florida-man-killed-by-officer.html,2015-10-31T23:03:37+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
