Title,Summary,Link,Time,Section,Subsection,Category
Latest Insider Trading Case Tied to Disney Deal,"The S.E.C. accused a California man of trading on inside information about Disney’s acquisition of Marvel Entertainment, using tidbits he gleaned from his girlfriend who was a Disney employee.",https://dealbook.nytimes.com/2011/08/11/latest-insider-trading-case-tied-to-disney-deal/,2011-08-11T21:59:19+0000,Business Day,Business Day,California Man
Naming Names on the Internet,"Online anonymity is essential for political dissidents, but calls for full disclosure of identities on the Internet are growing louder.",https://www.nytimes.com/2011/09/05/technology/naming-names-on-the-internet.html,2011-09-04T18:20:56+0000,Technology,Technology,California Man
Report on Medicare Cites Prescription Drug Abuse,"Investigators from the Government Accountability Office said Medicare officials had been slow to recognize and act on the evidence of abuse, which is to be presented at a Senate hearing on Tuesday.",https://www.nytimes.com/2011/10/04/health/policy/04medicare.html,2011-10-04T01:01:21+0000,Health,Health,California Man
Insider Trading Defendant in Disney Case Fights Back,"The accused, Toby Scammell, calls the S.E.C. the “financial regulatory equivalent” of the Department of Motor Vehicles.",https://dealbook.nytimes.com/2011/08/17/insider-trading-defendant-in-disney-case-fights-back/,2011-08-17T16:25:20+0000,Business Day,Business Day,California Man
Exit the Curmudgeon,"The Day: It is relatively rare for Andy Rooney’s name to appear without “curmudgeon” lurking close by, and that is unfortunate. Also, what City Room is reading in other papers and blogs.",https://cityroom.blogs.nytimes.com/2011/10/03/exit-the-curmudgeon/,2011-10-03T12:30:33+0000,New York,New York,California Man
An Agreement Is Reached in Ansel Adams Lawsuit,"The two parties in a long-running dispute about the authenticity of a cache of glass negatives have reached an agreement, of sorts.",https://www.nytimes.com/2011/03/16/arts/design/ansel-adams-lawsuit-an-agreement-is-reached.html,2011-03-15T21:26:29+0000,Arts,Arts,California Man
Another Legal Twist In Ansel Adams Case,The legal dispute between a California man who says a box of glass-plate negatives he bought at a garage sale are the work of Ansel Adams and the famed photographer’s trust has entered a new phase.,https://artsbeat.blogs.nytimes.com/2010/12/17/another-legal-twist-in-ansel-adams-case/,2010-12-18T00:35:16+0000,Arts,Arts,California Man
Arrest in Threat to Kill a Congressman,"A California man was arrested on Wednesday morning for threatening to kill Representative Jim McDermott, Democrat of Washington State.",https://thecaucus.blogs.nytimes.com/2011/01/12/arrest-in-threat-to-kill-a-congressman/,2011-01-12T23:10:19+0000,U.S.,U.S.,California Man
"Voluntarily Disclose Your Offshore Accounts, or Else","The second round of disclosure under an I.R.S. program ends Sept. 9, and the penalties are severe for those who don’t come forward.",https://www.nytimes.com/2011/08/27/your-money/taxes/for-the-2nd-time-voluntarily-disclose-your-offshore-accounts-or-else.html,2011-08-26T19:24:39+0000,Your Money,Your Money,California Man
Dec. 17 Updates on Connecticut Shooting Aftermath,"Live coverage in the aftermath of the shooting at Sandy Hook Elementary School in Newtown, Connecticut.",https://thelede.blogs.nytimes.com/2012/12/17/dec-17-updates-on-connecticut-shooting-aftermath/,2012-12-17T15:19:14+0000,Blogs,Blogs,California Man
S.E.C. Calls TV Cop a Real-Life Crook,"The Securities and Exchange Commission accused Larry Wilcox, who played Officer Jon Baker on the popular television show “CHiPs,” of taking part in an illicit penny-stock kickback scheme.",https://dealbook.nytimes.com/2010/10/07/s-e-c-calls-tv-cop-a-real-life-crook/,2010-10-07T21:41:55+0000,Business Day,Business Day,California Man
California Lawmakers Approve Bill on Stolen Art Claims,The legislation would make it easier for people to try to recover artworks from museums.,https://artsbeat.blogs.nytimes.com/2010/09/01/california-lawmakers-approve-bill-on-stolen-art-claims/,2010-09-01T13:08:10+0000,Arts,Arts,California Man
‘Mad at America’,"Monologue |  Friday night on “The Tonight Show With Jay Leno” on NBC: Hamid Karzai is mad at America. He said we said his government is riddled with corruption, bribes, kickbacks and payoffs. So, looks like they’re trying to pass health care over ...",https://laughlines.blogs.nytimes.com/2010/04/10/mad-at-america/,2010-04-10T14:19:27+0000,Week in Review,Week in Review,California Man
Detention and the Disabled,A new report lays out in unsettling detail the burdens faced by a particularly vulnerable group: immigrants with mental disabilities.,https://www.nytimes.com/2010/07/31/opinion/31sat3.html,2010-07-31T02:35:23+0000,Opinion,Opinion,California Man
October Release Schedule,Movie releases for October.,https://www.nytimes.com/2011/09/18/movies/october-release-schedule.html,2011-09-16T23:06:28+0000,Movies,Movies,California Man
Ansel Adams or Not? More Twists,At least two people have been put forward as the possible creators of negatives whose owner claims they are by Ansel Adams.,https://www.nytimes.com/2010/11/10/arts/design/10adams.html,2010-11-09T22:03:18+0000,Arts,Arts,California Man
Morning Take-Out,Highlights from the DealBook newsletter.,https://dealbook.nytimes.com/2011/08/12/morning-take-out-302/,2011-08-12T12:55:24+0000,Business Day,Business Day,California Man
A Turnaround in Ansel Adams Photo Dispute,A member of the expert team that declared that a box of negatives bought at a California garage sale were the lost work of Ansel Adams has changed his mind.,https://www.nytimes.com/2010/08/31/arts/design/31adams.html,2010-08-30T21:55:01+0000,Arts,Arts,California Man
2 Reports of Trouble in Stopping Priuses,Two drivers reported problems with Priuses that they said were not related to a sticking mat.,https://www.nytimes.com/2010/03/10/business/10toyota.html,2010-03-10T03:10:01+0000,Business Day,Business Day,California Man
